kind,asset_group,env,source,target,source_exists,source_object_count,target_created,synced_objects,spot_check_pass,spot_check_note,status,error
features-xinstrument,prediction,prd,unified-trading-features-xinstrument-pred-427895769566,features-xinstrument-pred-427895769566,False,0,False,0,False,,skipped_no_source,
features-xinstrument,sports,prd,unified-trading-features-xinstrument-sports-427895769566,features-xinstrument-sports-427895769566,False,0,False,0,False,,skipped_no_source,
features-mtf,cefi,prd,unified-trading-features-mtf-cefi-427895769566,features-mtf-cefi-427895769566,False,0,False,0,False,,skipped_no_source,
features-mtf,tradfi,prd,unified-trading-features-mtf-tradfi-427895769566,features-mtf-tradfi-427895769566,False,0,False,0,False,,skipped_no_source,
features-mtf,defi,prd,unified-trading-features-mtf-defi-427895769566,features-mtf-defi-427895769566,False,0,False,0,False,,skipped_no_source,
features-mtf,prediction,prd,unified-trading-features-mtf-pred-427895769566,features-mtf-pred-427895769566,False,0,False,0,False,,skipped_no_source,
features-mtf,sports,prd,unified-trading-features-mtf-sports-427895769566,features-mtf-sports-427895769566,False,0,False,0,False,,skipped_no_source,
ml-models-store,n/a,prd,unified-trading-ml-models-prod-427895769566,ml-models-store-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-models-store,n/a,stg,unified-trading-ml-models-staging-427895769566,ml-models-store-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-models-store,n/a,dev,unified-trading-ml-models-dev-427895769566,ml-models-store-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-predictions-store,n/a,prd,unified-trading-ml-predictions-prod-427895769566,ml-predictions-store-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-predictions-store,n/a,stg,unified-trading-ml-predictions-staging-427895769566,ml-predictions-store-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-predictions-store,n/a,dev,unified-trading-ml-predictions-dev-427895769566,ml-predictions-store-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-configs-store,n/a,prd,unified-trading-ml-configs-prod-427895769566,ml-configs-store-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-configs-store,n/a,stg,unified-trading-ml-configs-staging-427895769566,ml-configs-store-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-configs-store,n/a,dev,unified-trading-ml-configs-dev-427895769566,ml-configs-store-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
ml-training-artifacts,n/a,prd,unified-trading-ml-training-artifacts-427895769566,ml-training-artifacts-427895769566,False,0,False,0,False,,skipped_no_source,
ml-artifacts,n/a,prd,unified-trading-ml-artifacts-427895769566,ml-artifacts-427895769566,False,0,False,0,False,,skipped_no_source,
strategy-store,cefi,prd,unified-trading-strategy-cefi-prod-427895769566,strategy-store-cefi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
strategy-store,tradfi,prd,unified-trading-strategy-tradfi-prod-427895769566,strategy-store-tradfi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
strategy-store,defi,prd,unified-trading-strategy-defi-prod-427895769566,strategy-store-defi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
execution-store,cefi,prd,unified-trading-execution-cefi-prod-427895769566,execution-store-cefi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
execution-store,tradfi,prd,unified-trading-execution-tradfi-prod-427895769566,execution-store-tradfi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
execution-store,defi,prd,unified-trading-execution-defi-prod-427895769566,execution-store-defi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-sports,n/a,prd,unified-trading-features-sports-prd-427895769566,features-sports-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-sports,n/a,stg,unified-trading-features-sports-stg-427895769566,features-sports-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-sports,n/a,dev,unified-trading-features-sports-dev-427895769566,features-sports-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-commodity,n/a,prd,unified-trading-commodity-signals-batch-427895769566,commodity-signals-batch-427895769566,False,0,False,0,False,,skipped_no_source,
market-data,cefi,prd,unified-trading-market-data-cefi-427895769566,market-data-tick-cefi-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
market-data,cefi,stg,unified-trading-market-data-cefi-427895769566,market-data-tick-cefi-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
market-data,cefi,dev,unified-trading-market-data-cefi-427895769566,market-data-tick-cefi-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
market-data,defi,prd,unified-trading-market-data-defi-427895769566,market-data-tick-defi-prd-427895769566,True,1000,True,56376,True,checked 5 objects OK,synced,
market-data,defi,stg,unified-trading-market-data-defi-427895769566,market-data-tick-defi-stg-427895769566,True,1000,True,56376,True,kind already checked,synced,
market-data,defi,dev,unified-trading-market-data-defi-427895769566,market-data-tick-defi-dev-427895769566,True,1000,True,56376,True,kind already checked,synced,
market-data,tradfi,prd,unified-trading-market-data-tradfi-427895769566,market-data-tick-tradfi-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
market-data,tradfi,stg,unified-trading-market-data-tradfi-427895769566,market-data-tick-tradfi-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
market-data,tradfi,dev,unified-trading-market-data-tradfi-427895769566,market-data-tick-tradfi-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
market-data,sports,prd,unified-trading-market-data-sports-prd-427895769566,market-data-tick-sports-prd-427895769566,False,0,False,0,False,,skipped_no_source,
market-data,sports,stg,unified-trading-market-data-sports-stg-427895769566,market-data-tick-sports-stg-427895769566,False,0,False,0,False,,skipped_no_source,
market-data,sports,dev,unified-trading-market-data-sports-dev-427895769566,market-data-tick-sports-dev-427895769566,False,0,False,0,False,,skipped_no_source,
instruments-store,cefi,prd,unified-trading-instruments-cefi-427895769566,instruments-store-cefi-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
instruments-store,cefi,stg,unified-trading-instruments-cefi-427895769566,instruments-store-cefi-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
instruments-store,cefi,dev,unified-trading-instruments-cefi-427895769566,instruments-store-cefi-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
instruments-store,defi,prd,unified-trading-instruments-defi-427895769566,instruments-store-defi-prd-427895769566,True,1000,True,64571,True,checked 5 objects OK,synced,
instruments-store,defi,stg,unified-trading-instruments-defi-427895769566,instruments-store-defi-stg-427895769566,True,1000,True,64571,True,kind already checked,synced,
instruments-store,defi,dev,unified-trading-instruments-defi-427895769566,instruments-store-defi-dev-427895769566,True,1000,True,64571,True,kind already checked,synced,
instruments-store,tradfi,prd,unified-trading-instruments-tradfi-427895769566,instruments-store-tradfi-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
instruments-store,tradfi,stg,unified-trading-instruments-tradfi-427895769566,instruments-store-tradfi-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
instruments-store,tradfi,dev,unified-trading-instruments-tradfi-427895769566,instruments-store-tradfi-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
instruments-store,sports,prd,unified-trading-instruments-sports-prd-427895769566,instruments-store-sports-prd-427895769566,False,0,False,0,False,,skipped_no_source,
instruments-store,sports,stg,unified-trading-instruments-sports-stg-427895769566,instruments-store-sports-stg-427895769566,False,0,False,0,False,,skipped_no_source,
instruments-store,sports,dev,unified-trading-instruments-sports-dev-427895769566,instruments-store-sports-dev-427895769566,False,0,False,0,False,,skipped_no_source,
features-calendar,n/a,prd,unified-trading-features-calendar-427895769566,features-calendar-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-calendar,n/a,stg,unified-trading-features-calendar-427895769566,features-calendar-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-calendar,n/a,dev,unified-trading-features-calendar-427895769566,features-calendar-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
instruments-store-prediction,n/a,prd,unified-trading-instruments-pred-prd-427895769566,instruments-store-pred-prd-427895769566,False,0,False,0,False,,skipped_no_source,
instruments-store-prediction,n/a,stg,unified-trading-instruments-pred-stg-427895769566,instruments-store-pred-stg-427895769566,False,0,False,0,False,,skipped_no_source,
instruments-store-prediction,n/a,dev,unified-trading-instruments-pred-dev-427895769566,instruments-store-pred-dev-427895769566,False,0,False,0,False,,skipped_no_source,
market-data-tick-prediction,n/a,prd,unified-trading-market-data-pred-prd-427895769566,market-data-tick-pred-prd-427895769566,False,0,False,0,False,,skipped_no_source,
market-data-tick-prediction,n/a,stg,unified-trading-market-data-pred-stg-427895769566,market-data-tick-pred-stg-427895769566,False,0,False,0,False,,skipped_no_source,
market-data-tick-prediction,n/a,dev,unified-trading-market-data-pred-dev-427895769566,market-data-tick-pred-dev-427895769566,False,0,False,0,False,,skipped_no_source,
features-prediction,n/a,prd,unified-trading-features-pred-prd-427895769566,features-pred-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-prediction,n/a,stg,unified-trading-features-pred-stg-427895769566,features-pred-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-prediction,n/a,dev,unified-trading-features-pred-dev-427895769566,features-pred-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
strategy-store-prediction,n/a,prd,unified-trading-strategy-pred-prd-427895769566,strategy-store-pred-prd-427895769566,False,0,False,0,False,,skipped_no_source,
strategy-store-prediction,n/a,stg,unified-trading-strategy-pred-stg-427895769566,strategy-store-pred-stg-427895769566,False,0,False,0,False,,skipped_no_source,
strategy-store-prediction,n/a,dev,unified-trading-strategy-pred-dev-427895769566,strategy-store-pred-dev-427895769566,False,0,False,0,False,,skipped_no_source,
execution-store-prediction,n/a,prd,unified-trading-execution-pred-prd-427895769566,execution-store-pred-prd-427895769566,False,0,False,0,False,,skipped_no_source,
execution-store-prediction,n/a,stg,unified-trading-execution-pred-stg-427895769566,execution-store-pred-stg-427895769566,False,0,False,0,False,,skipped_no_source,
execution-store-prediction,n/a,dev,unified-trading-execution-pred-dev-427895769566,execution-store-pred-dev-427895769566,False,0,False,0,False,,skipped_no_source,
dex-pools,n/a,prd,unified-trading-dex-pools-prd-427895769566,dex-pools-prd-427895769566,True,1000,True,152161,True,checked 5 objects OK,synced,
dex-pools,n/a,stg,unified-trading-dex-pools-stg-427895769566,dex-pools-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
dex-pools,n/a,dev,unified-trading-dex-pools-dev-427895769566,dex-pools-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
dex-swaps,n/a,prd,unified-trading-dex-swaps-prd-427895769566,dex-swaps-prd-427895769566,True,1000,True,68703,True,checked 5 objects OK,synced,
dex-swaps,n/a,stg,unified-trading-dex-swaps-stg-427895769566,dex-swaps-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
dex-swaps,n/a,dev,unified-trading-dex-swaps-dev-427895769566,dex-swaps-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
evm-defi,n/a,prd,unified-trading-evm-defi-prd-427895769566,evm-defi-prd-427895769566,True,1000,True,30114,True,checked 5 objects OK,synced,
evm-defi,n/a,stg,unified-trading-evm-defi-stg-427895769566,evm-defi-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
evm-defi,n/a,dev,unified-trading-evm-defi-dev-427895769566,evm-defi-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
eigenlayer-rewards,n/a,prd,unified-trading-eigenlayer-rewards-prd-427895769566,eigenlayer-rewards-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
eigenlayer-rewards,n/a,stg,unified-trading-eigenlayer-rewards-stg-427895769566,eigenlayer-rewards-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
eigenlayer-rewards,n/a,dev,unified-trading-eigenlayer-rewards-dev-427895769566,eigenlayer-rewards-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
solana-defi,n/a,prd,unified-trading-solana-defi-prd-427895769566,solana-defi-prd-427895769566,True,1000,True,5037,True,checked 5 objects OK,synced,
solana-defi,n/a,stg,unified-trading-solana-defi-stg-427895769566,solana-defi-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
solana-defi,n/a,dev,unified-trading-solana-defi-dev-427895769566,solana-defi-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
events,n/a,prd,unified-trading-events-prd-427895769566,events-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
events,n/a,stg,unified-trading-events-stg-427895769566,events-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
events,n/a,dev,unified-trading-events-dev-427895769566,events-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
config-store,n/a,prd,unified-trading-config-store-prd-427895769566,config-store-prd-427895769566,True,9,True,0,True,checked 5 objects OK,synced,
config-store,n/a,stg,unified-trading-config-store-stg-427895769566,config-store-stg-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
config-store,n/a,dev,unified-trading-config-store-dev-427895769566,config-store-dev-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
archetype-state,n/a,prd,unified-trading-archetype-state-prd-427895769566,archetype-state-prd-427895769566,False,0,False,0,False,,skipped_no_source,
archetype-state,n/a,stg,unified-trading-archetype-state-stg-427895769566,archetype-state-stg-427895769566,False,0,False,0,False,,skipped_no_source,
archetype-state,n/a,dev,unified-trading-archetype-state-dev-427895769566,archetype-state-dev-427895769566,False,0,False,0,False,,skipped_no_source,
client-reports,n/a,prd,unified-trading-client-reports-prd-427895769566,client-reports-prd-427895769566,False,0,False,0,False,,skipped_no_source,
client-reports,n/a,stg,unified-trading-client-reports-stg-427895769566,client-reports-stg-427895769566,False,0,False,0,False,,skipped_no_source,
client-reports,n/a,dev,unified-trading-client-reports-dev-427895769566,client-reports-dev-427895769566,False,0,False,0,False,,skipped_no_source,
client-statements,n/a,prd,unified-trading-client-statements-prd-427895769566,client-statements-prd-427895769566,False,0,False,0,False,,skipped_no_source,
client-statements,n/a,stg,unified-trading-client-statements-stg-427895769566,client-statements-stg-427895769566,False,0,False,0,False,,skipped_no_source,
client-statements,n/a,dev,unified-trading-client-statements-dev-427895769566,client-statements-dev-427895769566,False,0,False,0,False,,skipped_no_source,
manual-audit,n/a,prd,unified-trading-manual-audit-prd-427895769566,manual-audit-prd-427895769566,False,0,False,0,False,,skipped_no_source,
manual-audit,n/a,stg,unified-trading-manual-audit-stg-427895769566,manual-audit-stg-427895769566,False,0,False,0,False,,skipped_no_source,
manual-audit,n/a,dev,unified-trading-manual-audit-dev-427895769566,manual-audit-dev-427895769566,False,0,False,0,False,,skipped_no_source,
audit-records,n/a,prd,unified-trading-audit-records-prd-427895769566,trading-audit-records-prd-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
audit-records,n/a,stg,unified-trading-audit-records-stg-427895769566,trading-audit-records-stg-427895769566,False,0,False,0,False,,skipped_no_source,
audit-records,n/a,dev,unified-trading-audit-records-dev-427895769566,trading-audit-records-dev-427895769566,False,0,False,0,False,,skipped_no_source,
