kind,asset_group,cloud,current_template,current_example_prd,target_template,target_example_prd,chars_current,chars_target,issue_type,action
features-onchain,cefi,aws,unified-trading-features-onchain-cefi-${AWS_ACCOUNT_ID},unified-trading-features-onchain-cefi-427895769566,features-onchain-cefi-${AWS_ACCOUNT_ID},features-onchain-cefi-427895769566,50,34,prefix_drift,drop_prefix
features-onchain,defi,aws,unified-trading-features-onchain-defi-${AWS_ACCOUNT_ID},unified-trading-features-onchain-defi-427895769566,features-onchain-defi-${AWS_ACCOUNT_ID},features-onchain-defi-427895769566,50,34,prefix_drift,drop_prefix
features-xinstrument,cefi,aws,unified-trading-features-xinstrument-cefi-${AWS_ACCOUNT_ID},unified-trading-features-xinstrument-cefi-427895769566,features-xinstrument-cefi-${AWS_ACCOUNT_ID},features-xinstrument-cefi-427895769566,54,38,prefix_drift,drop_prefix
features-xinstrument,tradfi,aws,unified-trading-features-xinstrument-tradfi-${AWS_ACCOUNT_ID},unified-trading-features-xinstrument-tradfi-427895769566,features-xinstrument-tradfi-${AWS_ACCOUNT_ID},features-xinstrument-tradfi-427895769566,56,40,prefix_drift,drop_prefix
features-xinstrument,defi,aws,unified-trading-features-xinstrument-defi-${AWS_ACCOUNT_ID},unified-trading-features-xinstrument-defi-427895769566,features-xinstrument-defi-${AWS_ACCOUNT_ID},features-xinstrument-defi-427895769566,54,38,prefix_drift,drop_prefix
features-xinstrument,prediction,aws,unified-trading-features-xinstrument-pred-${AWS_ACCOUNT_ID},unified-trading-features-xinstrument-pred-427895769566,features-xinstrument-pred-${AWS_ACCOUNT_ID},features-xinstrument-pred-427895769566,54,38,prefix_drift,drop_prefix
features-xinstrument,sports,aws,unified-trading-features-xinstrument-sports-${AWS_ACCOUNT_ID},unified-trading-features-xinstrument-sports-427895769566,features-xinstrument-sports-${AWS_ACCOUNT_ID},features-xinstrument-sports-427895769566,56,40,prefix_drift,drop_prefix
features-mtf,cefi,aws,unified-trading-features-mtf-cefi-${AWS_ACCOUNT_ID},unified-trading-features-mtf-cefi-427895769566,features-mtf-cefi-${AWS_ACCOUNT_ID},features-mtf-cefi-427895769566,46,30,prefix_drift,drop_prefix
features-mtf,tradfi,aws,unified-trading-features-mtf-tradfi-${AWS_ACCOUNT_ID},unified-trading-features-mtf-tradfi-427895769566,features-mtf-tradfi-${AWS_ACCOUNT_ID},features-mtf-tradfi-427895769566,48,32,prefix_drift,drop_prefix
features-mtf,defi,aws,unified-trading-features-mtf-defi-${AWS_ACCOUNT_ID},unified-trading-features-mtf-defi-427895769566,features-mtf-defi-${AWS_ACCOUNT_ID},features-mtf-defi-427895769566,46,30,prefix_drift,drop_prefix
features-mtf,prediction,aws,unified-trading-features-mtf-pred-${AWS_ACCOUNT_ID},unified-trading-features-mtf-pred-427895769566,features-mtf-pred-${AWS_ACCOUNT_ID},features-mtf-pred-427895769566,46,30,prefix_drift,drop_prefix
features-mtf,sports,aws,unified-trading-features-mtf-sports-${AWS_ACCOUNT_ID},unified-trading-features-mtf-sports-427895769566,features-mtf-sports-${AWS_ACCOUNT_ID},features-mtf-sports-427895769566,48,32,prefix_drift,drop_prefix
ml-models-store,n/a,aws,unified-trading-ml-models-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-ml-models-prd-427895769566,ml-models-store-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},ml-models-store-prd-427895769566,42,32,infix_missing,drop_prefix|add_store_infix
ml-predictions-store,n/a,aws,unified-trading-ml-predictions-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-ml-predictions-prd-427895769566,ml-predictions-store-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},ml-predictions-store-prd-427895769566,47,37,infix_missing,drop_prefix|add_store_infix
ml-configs-store,n/a,aws,unified-trading-ml-configs-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-ml-configs-prd-427895769566,ml-configs-store-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},ml-configs-store-prd-427895769566,43,33,infix_missing,drop_prefix|add_store_infix
ml-training-artifacts,n/a,aws,unified-trading-ml-training-artifacts-${AWS_ACCOUNT_ID},unified-trading-ml-training-artifacts-427895769566,ml-training-artifacts-${AWS_ACCOUNT_ID},ml-training-artifacts-427895769566,50,34,prefix_drift,drop_prefix
ml-artifacts,n/a,aws,unified-trading-ml-artifacts-${AWS_ACCOUNT_ID},unified-trading-ml-artifacts-427895769566,ml-artifacts-${AWS_ACCOUNT_ID},ml-artifacts-427895769566,41,25,prefix_drift,drop_prefix
strategy-store,cefi,aws,unified-trading-strategy-cefi-${AWS_ACCOUNT_ID},unified-trading-strategy-cefi-427895769566,strategy-store-cefi-${AWS_ACCOUNT_ID},strategy-store-cefi-427895769566,42,32,infix_missing,drop_prefix|add_store_infix
strategy-store,tradfi,aws,unified-trading-strategy-tradfi-${AWS_ACCOUNT_ID},unified-trading-strategy-tradfi-427895769566,strategy-store-tradfi-${AWS_ACCOUNT_ID},strategy-store-tradfi-427895769566,44,34,infix_missing,drop_prefix|add_store_infix
strategy-store,defi,aws,unified-trading-strategy-defi-${AWS_ACCOUNT_ID},unified-trading-strategy-defi-427895769566,strategy-store-defi-${AWS_ACCOUNT_ID},strategy-store-defi-427895769566,42,32,infix_missing,drop_prefix|add_store_infix
execution-store,cefi,aws,unified-trading-execution-cefi-${AWS_ACCOUNT_ID},unified-trading-execution-cefi-427895769566,execution-store-cefi-${AWS_ACCOUNT_ID},execution-store-cefi-427895769566,43,33,infix_missing,drop_prefix|add_store_infix
execution-store,tradfi,aws,unified-trading-execution-tradfi-${AWS_ACCOUNT_ID},unified-trading-execution-tradfi-427895769566,execution-store-tradfi-${AWS_ACCOUNT_ID},execution-store-tradfi-427895769566,45,35,infix_missing,drop_prefix|add_store_infix
execution-store,defi,aws,unified-trading-execution-defi-${AWS_ACCOUNT_ID},unified-trading-execution-defi-427895769566,execution-store-defi-${AWS_ACCOUNT_ID},execution-store-defi-427895769566,43,33,infix_missing,drop_prefix|add_store_infix
features-sports,n/a,aws,unified-trading-features-sports-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-features-sports-prd-427895769566,features-sports-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},features-sports-prd-427895769566,48,32,prefix_drift,drop_prefix
features-commodity,n/a,aws,unified-trading-commodity-signals-batch-${AWS_ACCOUNT_ID},unified-trading-commodity-signals-batch-427895769566,commodity-signals-batch-${AWS_ACCOUNT_ID},commodity-signals-batch-427895769566,52,36,prefix_drift,drop_prefix
market-data,cefi,aws,unified-trading-market-data-cefi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-market-data-cefi-prd-427895769566,market-data-tick-cefi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},market-data-tick-cefi-prd-427895769566,49,38,infix_missing,drop_prefix|add_tick_infix
market-data,defi,aws,unified-trading-market-data-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-market-data-defi-prd-427895769566,market-data-tick-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},market-data-tick-defi-prd-427895769566,49,38,infix_missing,drop_prefix|add_tick_infix
market-data,tradfi,aws,unified-trading-market-data-tradfi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-market-data-tradfi-prd-427895769566,market-data-tick-tradfi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},market-data-tick-tradfi-prd-427895769566,51,40,infix_missing,drop_prefix|add_tick_infix
market-data,sports,aws,unified-trading-market-data-sports-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-market-data-sports-prd-427895769566,market-data-tick-sports-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},market-data-tick-sports-prd-427895769566,51,40,infix_missing,drop_prefix|add_tick_infix
instruments-store,cefi,aws,unified-trading-instruments-cefi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-instruments-cefi-prd-427895769566,instruments-store-cefi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},instruments-store-cefi-prd-427895769566,49,39,infix_missing,drop_prefix|add_store_infix
instruments-store,defi,aws,unified-trading-instruments-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-instruments-defi-prd-427895769566,instruments-store-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},instruments-store-defi-prd-427895769566,49,39,infix_missing,drop_prefix|add_store_infix
instruments-store,tradfi,aws,unified-trading-instruments-tradfi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-instruments-tradfi-prd-427895769566,instruments-store-tradfi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},instruments-store-tradfi-prd-427895769566,51,41,infix_missing,drop_prefix|add_store_infix
instruments-store,sports,aws,unified-trading-instruments-sports-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-instruments-sports-prd-427895769566,instruments-store-sports-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},instruments-store-sports-prd-427895769566,51,41,infix_missing,drop_prefix|add_store_infix
features-calendar,n/a,aws,unified-trading-features-calendar-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-features-calendar-prd-427895769566,features-calendar-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},features-calendar-prd-427895769566,50,34,prefix_drift,drop_prefix
instruments-store-prediction,n/a,aws,unified-trading-instruments-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-instruments-pred-prd-427895769566,instruments-store-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},instruments-store-pred-prd-427895769566,49,39,prefix_drift,drop_prefix
market-data-tick-prediction,n/a,aws,unified-trading-market-data-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-market-data-pred-prd-427895769566,market-data-tick-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},market-data-tick-pred-prd-427895769566,49,38,infix_missing,drop_prefix|add_tick_infix
features-prediction,n/a,aws,unified-trading-features-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-features-pred-prd-427895769566,features-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},features-pred-prd-427895769566,46,30,prefix_drift,drop_prefix
strategy-store-prediction,n/a,aws,unified-trading-strategy-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-strategy-pred-prd-427895769566,strategy-store-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},strategy-store-pred-prd-427895769566,46,36,infix_missing,drop_prefix|add_store_infix
execution-store-prediction,n/a,aws,unified-trading-execution-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-execution-pred-prd-427895769566,execution-store-pred-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},execution-store-pred-prd-427895769566,47,37,infix_missing,drop_prefix|add_store_infix
dex-pools,n/a,aws,unified-trading-dex-pools-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-dex-pools-prd-427895769566,dex-pools-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},dex-pools-prd-427895769566,42,26,prefix_drift,drop_prefix
dex-swaps,n/a,aws,unified-trading-dex-swaps-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-dex-swaps-prd-427895769566,dex-swaps-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},dex-swaps-prd-427895769566,42,26,prefix_drift,drop_prefix
evm-defi,n/a,aws,unified-trading-evm-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-evm-defi-prd-427895769566,evm-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},evm-defi-prd-427895769566,41,25,prefix_drift,drop_prefix
eigenlayer-rewards,n/a,aws,unified-trading-eigenlayer-rewards-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-eigenlayer-rewards-prd-427895769566,eigenlayer-rewards-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},eigenlayer-rewards-prd-427895769566,51,35,prefix_drift,drop_prefix
solana-defi,n/a,aws,unified-trading-solana-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-solana-defi-prd-427895769566,solana-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},solana-defi-prd-427895769566,44,28,prefix_drift,drop_prefix
pnl-store-defi,n/a,aws,pnl-store-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},pnl-store-defi-prd-427895769566,pnl-store-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},pnl-store-defi-prd-427895769566,31,31,already_symmetric,no_action
positions-store-defi,n/a,aws,positions-store-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},positions-store-defi-prd-427895769566,positions-store-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},positions-store-defi-prd-427895769566,37,37,already_symmetric,no_action
risk-store-defi,n/a,aws,risk-store-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},risk-store-defi-prd-427895769566,risk-store-defi-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},risk-store-defi-prd-427895769566,32,32,already_symmetric,no_action
events,n/a,aws,unified-trading-events-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-events-prd-427895769566,events-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},events-prd-427895769566,39,23,prefix_drift,drop_prefix
config-store,n/a,aws,unified-trading-config-store-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-config-store-prd-427895769566,config-store-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},config-store-prd-427895769566,45,29,prefix_drift,drop_prefix
archetype-state,n/a,aws,unified-trading-archetype-state-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-archetype-state-prd-427895769566,archetype-state-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},archetype-state-prd-427895769566,48,32,prefix_drift,drop_prefix
client-reports,n/a,aws,unified-trading-client-reports-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-client-reports-prd-427895769566,client-reports-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},client-reports-prd-427895769566,47,31,prefix_drift,drop_prefix
client-statements,n/a,aws,unified-trading-client-statements-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-client-statements-prd-427895769566,client-statements-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},client-statements-prd-427895769566,50,34,prefix_drift,drop_prefix
manual-audit,n/a,aws,unified-trading-manual-audit-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-manual-audit-prd-427895769566,manual-audit-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},manual-audit-prd-427895769566,45,29,prefix_drift,drop_prefix
audit-records,n/a,aws,unified-trading-audit-records-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},unified-trading-audit-records-prd-427895769566,trading-audit-records-${DEPLOYMENT_ENV_SHORT}-${AWS_ACCOUNT_ID},trading-audit-records-prd-427895769566,46,38,prefix_drift,drop_prefix
