window_id,event_name,event_type,recurrence,start_utc,end_utc,dst_note,block_autonomous,block_prod_deploy,affects_venues,notes
OPT_EXPIRY_2026_12,Options Expiry Dec,options_expiry,3rd_friday_monthly,2026-12-18T19:00,2026-12-18T21:30,,true,true,"deribit,ibkr,databento","Quarterly expiry (triple witching)"
BOJ_2026_Q1,BOJ Rate Decision Q1,central_bank,quarterly,2026-01-24T02:00,2026-01-24T06:00,,true,true,"ibkr,databento","BOJ monetary policy; JPY crosses volatile"
BOJ_2026_Q2,BOJ Rate Decision Q2,central_bank,quarterly,2026-04-28T02:00,2026-04-28T06:00,,true,true,"ibkr,databento","BOJ monetary policy; JPY crosses volatile"
BOJ_2026_Q3,BOJ Rate Decision Q3,central_bank,quarterly,2026-07-15T02:00,2026-07-15T06:00,,true,true,"ibkr,databento","BOJ monetary policy; JPY crosses volatile"
BOJ_2026_Q4,BOJ Rate Decision Q4,central_bank,quarterly,2026-10-29T02:00,2026-10-29T06:00,,true,true,"ibkr,databento","BOJ monetary policy; JPY crosses volatile"
FOMC_2026_01,FOMC Jan,central_bank,8x_yearly,2026-01-28T18:00,2026-01-28T20:30,,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","Fed rate decision + press conference"
FOMC_2026_03,FOMC Mar,central_bank,8x_yearly,2026-03-18T18:00,2026-03-18T20:30,,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","Fed rate decision + SEP/dot plot"
FOMC_2026_05,FOMC May,central_bank,8x_yearly,2026-05-06T18:00,2026-05-06T20:30,,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","Fed rate decision + press conference"
FOMC_2026_06,FOMC Jun,central_bank,8x_yearly,2026-06-17T18:00,2026-06-17T20:30,,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","Fed rate decision + SEP/dot plot"
FOMC_2026_07,FOMC Jul,central_bank,8x_yearly,2026-07-29T18:00,2026-07-29T20:30,,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","Fed rate decision + press conference"
FOMC_2026_09,FOMC Sep,central_bank,8x_yearly,2026-09-16T18:00,2026-09-16T20:30,,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","Fed rate decision + SEP/dot plot"
FOMC_2026_11,FOMC Nov,central_bank,8x_yearly,2026-11-04T18:00,2026-11-04T20:30,,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","Fed rate decision + press conference"
FOMC_2026_12,FOMC Dec,central_bank,8x_yearly,2026-12-16T18:00,2026-12-16T20:30,,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","Fed rate decision + SEP/dot plot"
FUNDING_00,Crypto Funding Rate 00:00,funding_snapshot,every_8h,23:55,00:05,,true,false,"binance,bybit,okx,deribit,hyperliquid","Funding rate settlement; basis trades adjust"
FUNDING_08,Crypto Funding Rate 08:00,funding_snapshot,every_8h,07:55,08:05,,true,false,"binance,bybit,okx,deribit,hyperliquid","Funding rate settlement; basis trades adjust"
FUNDING_16,Crypto Funding Rate 16:00,funding_snapshot,every_8h,15:55,16:05,,true,false,"binance,bybit,okx,deribit,hyperliquid","Funding rate settlement; basis trades adjust"
